regime,count,mass_fraction,mean_reward,terminal_next_rate,terminal_risk_within_25,action_0_prob,action_1_prob,action_2_prob,action_purity,mean_tip_height,mean_theta1,mean_theta2
134,3,0.004243281471004243,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.9249615149605025,-1.157857497393093,2.1074614096685758
135,2,0.002828854314002829,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.004862688605090704,0.27968940057659264,2.9311942433214244
136,6,0.008486562942008486,-1.0,0.0,0.0,0.5,0.0,0.5,0.5,-1.8143942065785517,0.05688670964578108,-0.6066563572598652
137,6,0.008486562942008486,-0.8333333333333334,0.16666666666666666,0.5,0.0,0.0,1.0,1.0,-0.7146189308205777,0.959544043529197,-1.6432848909719524
138,3,0.004243281471004243,-1.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,-0.5327448200173804,-0.549576071631842,0.4480832400112433
139,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
140,3,0.004243281471004243,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.1857876138638346,-0.0040466585448080865,0.21615748466463647
141,2,0.002828854314002829,-1.0,0.0,1.0,0.0,0.5,0.5,0.5,-1.0235589013846116,0.2366893268856178,-1.0379456123481337
142,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
143,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
144,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
145,1,0.0014144271570014145,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.31997331644065546,-1.8553236184909048,0.9288750397745176
146,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
147,7,0.009900990099009901,-1.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,-1.2631908355151336,-0.042778397767328294,1.167929026529689
148,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
149,2,0.002828854314002829,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-0.8773847250597627,0.3501585583741745,0.3336457503911959
