system,operator,mode_index,lambda_real,lambda_imag,lambda_abs,legacy_rkhs_residual_feature,legacy_rkhs_residual_matrix_formula,legacy_feature_matrix_formula_abs_diff,legacy_representation_error_unsquared,legacy_denominator_norm,subsample_size,num_regimes,legacy_rank_by_residual
duffing,ridge_ls,4,0.9972969493847277,-0.04093644322161421,0.9981367629917859,0.007585505050728121,0.00758550505072639,1.730386667286865e-15,1.8963882945956226e-07,0.9999999770130037,800,10,2
duffing,ridge_ls,6,0.9972969493847279,0.04093644322161473,0.9981367629917861,0.007585505050729703,0.007585505050726437,3.2656169435263394e-15,1.896388295358783e-07,0.9999999770130011,800,10,3
duffing,ridge_ls,7,0.9868152012839913,0.02293993769530451,0.9870818011829763,0.013289219173671788,0.013289219173687422,1.5633327965502986e-14,1.5763182635023432e-06,0.9999997203576293,800,10,4
duffing,ridge_ls,5,0.9868152012839914,-0.02293993769530474,0.9870818011829764,0.01328921917367235,0.013289219173672172,1.7867651802561113e-16,1.5763182630008865e-06,0.9999997203576543,800,10,5
duffing,ridge_ls,2,0.991621970862515,-0.06490801740144436,0.9937440232878106,0.03276294481759474,0.03276294481758927,5.467848396278896e-15,1.5612934534165698e-06,0.9999997820093656,800,10,6
duffing,ridge_ls,3,0.9916219708625149,0.0649080174014437,0.9937440232878105,0.032762944817595896,0.03276294481759157,4.322930902134203e-15,1.5612934532996896e-06,0.9999997820093582,800,10,7
duffing,ridge_ls,8,0.9984309508022013,2.7727331066898193e-33,0.9984309508022013,0.047059782230881954,0.047059782230882106,1.5265566588595902e-16,6.821311813752087e-07,0.9999997263386335,800,10,8
duffing,ridge_ls,1,0.9154524897403192,-2.257437854593676e-16,0.9154524897403192,0.0619791101968904,0.061979110196885734,4.6629367034256575e-15,1.3849660884984078e-06,0.9999996980342979,800,10,9
duffing,ridge_ls,0,0.8831236462859196,-2.1833121248426846e-16,0.8831236462859196,0.10593597087921032,0.10593597087921186,1.5404344466674047e-15,1.912387590274808e-06,0.9999996747544438,800,10,10
vanderpol,nlms,22,0.9999999999999999,2.937542804100446e-16,0.9999999999999999,0.004352505812127228,0.004352505812139094,1.1866375937419349e-14,4.700279380568783e-10,0.9999999997106006,800,25,1
vanderpol,nlms,21,0.9996851086911519,-0.0190888449232249,0.9998673414705289,0.004612042578614781,0.004612042578636819,2.2037927038809357e-14,6.211783824194062e-10,0.999999999628619,800,25,2
vanderpol,nlms,24,0.9996851086911521,0.01908884492322482,0.999867341470529,0.00461204257861504,0.004612042578613336,1.7034984534092246e-15,6.211783781095208e-10,0.9999999996286192,800,25,3
vanderpol,nlms,19,0.9986936129908291,-0.03805309923772955,0.9994183163171828,0.004796420539867276,0.004796420539861393,5.883314668775341e-15,8.176368364175662e-10,0.9999999995215751,800,25,4
vanderpol,nlms,23,0.9986936129908298,0.038053099237729836,0.9994183163171835,0.004796420539867913,0.004796420539859959,7.954574499091649e-15,8.176368754476044e-10,0.9999999995215749,800,25,5
vanderpol,nlms,17,0.9969880274377826,-0.05700882561077625,0.9986166096414583,0.005367656266582947,0.005367656266587317,4.369768435985577e-15,1.5057584958186865e-09,0.999999999305981,800,25,6
vanderpol,nlms,20,0.9969880274377841,0.05700882561077675,0.9986166096414598,0.005367656266583109,0.005367656266583056,5.2909066017292616e-17,1.5057585277591944e-09,0.9999999993059808,800,25,7
vanderpol,nlms,15,0.9940561246799698,-0.07629639541738294,0.996979798675703,0.0070362551863539955,0.007036255186340077,1.3918553809499912e-14,2.238995444631292e-09,0.9999999989506074,800,25,8
vanderpol,nlms,18,0.9940561246799685,0.07629639541738312,0.9969797986757017,0.007036255186354318,0.00703625518635304,1.2784912017949068e-15,2.2389954995448435e-09,0.9999999989506072,800,25,9
vanderpol,nlms,16,0.9908675125806573,0.09718365870984474,0.9956219618951817,0.008615150404471703,0.008615150404473807,2.104219576359867e-15,3.185659861948451e-09,0.9999999985115491,800,25,10
vanderpol,nlms,14,0.990867512580657,-0.09718365870984423,0.9956219618951813,0.008615150404472433,0.008615150404467121,5.311723283440983e-15,3.1856599695447045e-09,0.9999999985115489,800,25,11
vanderpol,nlms,13,0.9824806622716419,0.1207271608922987,0.9898703445981393,0.0130323407052212,0.013032340705221444,2.42861286636753e-16,6.611618708595287e-09,0.999999997737168,800,25,12
vanderpol,nlms,8,0.9824806622716401,-0.12072716089229751,0.9898703445981374,0.013032340705223128,0.013032340705223655,5.273559366969494e-16,6.6116186626194235e-09,0.999999997737168,800,25,13
vanderpol,nlms,6,0.9768079685550147,-0.14563557251832474,0.9876049450135995,0.013465845098143383,0.013465845098145928,2.544839339257976e-15,6.154603310522749e-09,0.9999999968900124,800,25,14
vanderpol,nlms,9,0.9768079685550133,0.14563557251832435,0.987604945013598,0.01346584509814363,0.013465845098139721,3.908331991375746e-15,6.154603298677006e-09,0.9999999968900126,800,25,15
vanderpol,nlms,5,0.958159079355459,0.17631689445661503,0.974246615915152,0.022133162961118048,0.022133162961116292,1.7555401576885288e-15,1.4743667680851488e-08,0.9999999940900632,800,25,16
vanderpol,nlms,4,0.9581590793554593,-0.17631689445661608,0.9742466159151526,0.022133162961118946,0.0221331629611196,6.522560269672795e-16,1.4743667610584887e-08,0.9999999940900633,800,25,17
vanderpol,nlms,2,0.9555896857199556,-0.20841330079219753,0.9780530412004568,0.026639471708503146,0.026639471708500784,2.3626933742804113e-15,1.3699106085164724e-08,0.9999999912080496,800,25,18
vanderpol,nlms,3,0.9555896857199568,0.2084133007921963,0.9780530412004578,0.026639471708504073,0.026639471708504472,3.9898639947466563e-16,1.3699106077185548e-08,0.9999999912080495,800,25,19
vanderpol,nlms,1,0.9335454025748251,0.25001020543332214,0.9664430254750687,0.03703274239289291,0.037032742392892885,2.7755575615628914e-17,2.4325983252026332e-08,0.9999999860668344,800,25,20
vanderpol,nlms,0,0.9335454025748278,-0.2500102054333232,0.9664430254750715,0.03703274239289331,0.03703274239289311,2.0122792321330962e-16,2.4325983334571145e-08,0.9999999860668342,800,25,21
vanderpol,nlms,10,0.9294453613113112,0.11199004101820363,0.9361679597969441,0.06724507465149678,0.06724507465149691,1.3877787807814457e-16,5.232784659991744e-08,0.9999999780294382,800,25,22
vanderpol,nlms,7,0.9294453613113138,-0.11199004101820494,0.9361679597969469,0.0672450746514975,0.06724507465149727,2.220446049250313e-16,5.232784662369592e-08,0.9999999780294361,800,25,23
vanderpol,nlms,11,0.9069482027457422,-0.02738840754473663,0.907361651896072,0.12486533421172374,0.12486533421172379,4.163336342344337e-17,1.1469174452271248e-07,0.9999999401960226,800,25,24
vanderpol,nlms,12,0.9069482027457426,0.02738840754473623,0.9073616518960724,0.12486533421172422,0.12486533421172441,1.942890293094024e-16,1.1469174447868798e-07,0.9999999401960212,800,25,25
vanderpol,ridge_ls,22,0.9999999999290696,5.201563604510345e-16,0.9999999999290696,0.004371201837105576,0.004371201837105628,5.204170427930421e-17,3.8531640100850694e-10,0.9999999997131384,800,25,1
vanderpol,ridge_ls,21,0.9997065896835705,-0.018878159413495296,0.9998848185464144,0.00472819875669964,0.004728198756692387,7.25287885305903e-15,4.770369701204683e-10,0.9999999996312815,800,25,2
vanderpol,ridge_ls,24,0.9997065896835714,0.01887815941349526,0.9998848185464153,0.004728198756699675,0.0047281987566926515,7.0230279924921035e-15,4.770369268555732e-10,0.9999999996312816,800,25,3
vanderpol,ridge_ls,19,0.9988042039122955,-0.037642233913119064,0.9995132693100399,0.004892674570057495,0.004892674570057739,2.445960101127298e-16,7.48259029457661e-10,0.9999999995224265,800,25,4
vanderpol,ridge_ls,23,0.9988042039122976,0.037642233913119064,0.999513269310042,0.004892674570057578,0.004892674570058318,7.398595625041082e-16,7.482589809358702e-10,0.9999999995224265,800,25,5
vanderpol,ridge_ls,17,0.9971638580821378,-0.05640770197910645,0.9987580231005995,0.005511569889234801,0.0055115698892371,2.2985086056692694e-15,1.3343259876263974e-09,0.999999999303976,800,25,6
vanderpol,ridge_ls,20,0.9971638580821373,0.056407701979106495,0.9987580231005989,0.00551156988923493,0.005511569889236524,1.5942108744226857e-15,1.3343260170396988e-09,0.9999999993039763,800,25,7
vanderpol,ridge_ls,15,0.9945065859408692,-0.075419834483311,0.9973622716512056,0.007245895817235363,0.007245895817224149,1.121411991045207e-14,1.8043286725981302e-09,0.9999999989541182,800,25,8
vanderpol,ridge_ls,18,0.9945065859408678,0.0754198344833117,0.9973622716512044,0.007245895817235685,0.007245895817231518,4.166805789296291e-15,1.8043287228998103e-09,0.999999998954118,800,25,9
vanderpol,ridge_ls,14,0.990908991237421,-0.09654529362888505,0.9956011363176777,0.008625221151432093,0.008625221151427838,4.255276686571108e-15,2.5992436703104754e-09,0.999999998536693,800,25,10
vanderpol,ridge_ls,16,0.9909089912374218,0.0965452936288848,0.9956011363176784,0.008625221151432712,0.008625221151431973,7.389922007661198e-16,2.599243715342777e-09,0.9999999985366927,800,25,11
vanderpol,ridge_ls,12,0.9839251912082233,-0.11820634663552934,0.9910002635110939,0.009945929815125099,0.009945929815121638,3.46077333457373e-15,4.376627307896585e-09,0.9999999979183041,800,25,12
vanderpol,ridge_ls,13,0.9839251912082216,0.11820634663552973,0.9910002635110924,0.009945929815126707,0.009945929815126956,2.498001805406602e-16,4.376627315079372e-09,0.9999999979183041,800,25,13
vanderpol,ridge_ls,10,0.9776276646788338,-0.14619757944536327,0.9884986509758491,0.012366825634892,0.012366825634890926,1.0737938316296436e-15,5.217744193092919e-09,0.9999999970288755,800,25,14
vanderpol,ridge_ls,11,0.977627664678835,0.14619757944536402,0.9884986509758504,0.01236682563489204,0.01236682563489328,1.240327285323417e-15,5.217744210456846e-09,0.9999999970288758,800,25,15
vanderpol,ridge_ls,8,0.9576002357559612,-0.17026057422369303,0.9726185658596356,0.01653797917088515,0.016537979170888454,3.3029134982598407e-15,1.2893220679588431e-08,0.9999999947553989,800,25,16
vanderpol,ridge_ls,9,0.9576002357559602,0.17026057422369387,0.9726185658596347,0.016537979170885918,0.01653797917088531,6.071532165918825e-16,1.2893220672631389e-08,0.9999999947553988,800,25,17
vanderpol,ridge_ls,2,0.9540225603924567,-0.21539171432518767,0.9780350895227237,0.029859268004844043,0.02985926800484834,4.295175326518574e-15,1.4245170897945928e-08,0.999999990620528,800,25,18
vanderpol,ridge_ls,4,0.9540225603924585,0.21539171432518803,0.9780350895227254,0.029859268004844775,0.0298592680048478,3.0253577421035516e-15,1.4245170794326174e-08,0.9999999906205282,800,25,19
vanderpol,ridge_ls,5,0.9021589692843434,0.1797654365904157,0.9198947864037124,0.030931046127451123,0.030931046127449128,1.994931997373328e-15,4.138295885989967e-08,0.9999999813353152,800,25,20
vanderpol,ridge_ls,3,0.9021589692843428,-0.17976543659041488,0.9198947864037116,0.03093104612745147,0.030931046127447587,3.882311139236094e-15,4.138295877918645e-08,0.9999999813353151,800,25,21
vanderpol,ridge_ls,1,0.9046031132104544,0.2581433929237331,0.940715049172821,0.031050986152007423,0.031050986152005196,2.2273849431542203e-15,3.7726939406509165e-08,0.9999999795543059,800,25,22
vanderpol,ridge_ls,0,0.9046031132104573,-0.25814339292373356,0.9407150491728239,0.031050986152008145,0.03105098615200471,3.434752482434078e-15,3.7726939370126466e-08,0.9999999795543059,800,25,23
vanderpol,ridge_ls,7,0.8434926588108208,-0.06171342793651232,0.845747251048103,0.0675049935851425,0.06750499358514207,4.3021142204224816e-16,1.0646079293720098e-07,0.9999999355878776,800,25,24
vanderpol,ridge_ls,6,0.8434926588108203,0.06171342793651363,0.8457472510481024,0.06750499358514375,0.0675049935851428,9.575673587391975e-16,1.0646079324809226e-07,0.9999999355878757,800,25,25
