attempt_index	job_id	C	omega	seed	status	exit_code	started_at_utc	ended_at_utc	duration_seconds	command	stdout_log	stdout_sha256	stderr_log	stderr_sha256	output_file_count	output_tree_sha256
11	C25_omega4p0_seed1	25	4.0	1	PASS	0	2026-09-23T07:10:45.457232+00:00	2026-09-23T07:10:46.763726+00:00	1.306479	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 4.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega4p0_seed1/output --strict --quiet	jobs/C25_omega4p0_seed1/stdout.log	fc537ce96646ed85f397e3ff31150505baf13002d356bad8d2f07815a0a2a63b	jobs/C25_omega4p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	27194efdfaa9f6745a319af4463baad75eb920989147167017ebbba010f4b68b
12	C25_omega4p0_seed2	25	4.0	2	PASS	0	2026-09-23T07:10:46.764990+00:00	2026-09-23T07:10:48.101343+00:00	1.336338	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 4.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega4p0_seed2/output --strict --quiet	jobs/C25_omega4p0_seed2/stdout.log	1dfe38b4587e0bd74650121da35f63a31ad28450d64f253b181059377d111fe0	jobs/C25_omega4p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	c32834b5502ef97029ab1f3618cf70f184746802a2cc2f84e1fb834d8f434c7f
13	C25_omega8p0_seed0	25	8.0	0	PASS	0	2026-09-23T07:10:48.102484+00:00	2026-09-23T07:10:49.404439+00:00	1.301941	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 8.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega8p0_seed0/output --strict --quiet	jobs/C25_omega8p0_seed0/stdout.log	435e64249bb0c56dafa48973d090d02a177188738b1da6c47615a58699dddfac	jobs/C25_omega8p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	21ddc779e49a0cb12e000b93d9407a8e7ae69f5cf5e53cfbe03f2ea4b8876f7b
14	C25_omega8p0_seed1	25	8.0	1	PASS	0	2026-09-23T07:10:49.405699+00:00	2026-09-23T07:10:50.703442+00:00	1.297729	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 8.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega8p0_seed1/output --strict --quiet	jobs/C25_omega8p0_seed1/stdout.log	4c9b92eb9cfccd2b478ed342b3b68ba41b56975beefe8c4bccc844554c558bac	jobs/C25_omega8p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	3217c826a19ca80690fb7c39091e721f5726957db26b852830ab2e4e9e0452b2
15	C25_omega8p0_seed2	25	8.0	2	PASS	0	2026-09-23T07:10:50.704651+00:00	2026-09-23T07:10:52.038144+00:00	1.33348	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 8.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega8p0_seed2/output --strict --quiet	jobs/C25_omega8p0_seed2/stdout.log	ea5fe935c3d623fc45cc5fe989cb1c6d8b361686ccb88f6e2a9544797c827122	jobs/C25_omega8p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	d23a39a3a930a3bcbcde1bd09c991cd3797e9e6421b2418d5337cbaaf7e2fc6b
16	C25_omega12p0_seed0	25	12.0	0	PASS	0	2026-09-23T07:10:52.039389+00:00	2026-09-23T07:10:53.335611+00:00	1.296208	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 12.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega12p0_seed0/output --strict --quiet	jobs/C25_omega12p0_seed0/stdout.log	bac32afda4d03c1a7bfce610741aefc2bab97449a8d83e82ffdc3201b68e6a51	jobs/C25_omega12p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	bf37041d2f4e9c2bcb1d737f8d74d22e064bdea0ab20f31144a8261d256afc86
17	C25_omega12p0_seed1	25	12.0	1	PASS	0	2026-09-23T07:10:53.336930+00:00	2026-09-23T07:10:54.634742+00:00	1.297799	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 12.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega12p0_seed1/output --strict --quiet	jobs/C25_omega12p0_seed1/stdout.log	86abf7242685f2c99662395434e5dec92b784008c4f6e120099420697e8efc2a	jobs/C25_omega12p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	d6a4d9ab7ea87ddafd7954d62154f6a3143778b3fa99dd3d8d86b14b2c17ab09
18	C25_omega12p0_seed2	25	12.0	2	PASS	0	2026-09-23T07:10:54.636078+00:00	2026-09-23T07:10:55.930069+00:00	1.293978	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 12.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega12p0_seed2/output --strict --quiet	jobs/C25_omega12p0_seed2/stdout.log	6bb4d981551b6ca9ebdc3122ba7ef984e06658a3b03c278fae1a1bb465f299a0	jobs/C25_omega12p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	777f7a746a722686ba61fa2e86e92155f1685d19f29b7c9c2984cc5ef4cb7ed7
19	C35_omega4p0_seed0	35	4.0	0	PASS	0	2026-09-23T07:10:55.931409+00:00	2026-09-23T07:10:57.234349+00:00	1.302926	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 4.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega4p0_seed0/output --strict --quiet	jobs/C35_omega4p0_seed0/stdout.log	f64a59412d672b81236bfd28f9fe0de55151ca2c20fe9a31649577124943e754	jobs/C35_omega4p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	3256b6f29a705cfc93eb3fbc6d7a32e9762d75b3f4f5f83f312db957e8234cae
20	C35_omega4p0_seed1	35	4.0	1	PASS	0	2026-09-23T07:10:57.235665+00:00	2026-09-23T07:10:58.535500+00:00	1.299822	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 4.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega4p0_seed1/output --strict --quiet	jobs/C35_omega4p0_seed1/stdout.log	deee982ff279c7eedcde59ba93849565f7a70fa8cd2788cc9ef474ca5424df12	jobs/C35_omega4p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	547421a95b49cca2cac00adf7e09fd92409db838a50f8556d505ef070824b36d
21	C35_omega4p0_seed2	35	4.0	2	PASS	0	2026-09-23T07:10:58.536828+00:00	2026-09-23T07:10:59.847596+00:00	1.310753	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 4.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega4p0_seed2/output --strict --quiet	jobs/C35_omega4p0_seed2/stdout.log	23b71f653b2784e591a19b8b55f5d078789e7643f66b74163de59f377d4503fb	jobs/C35_omega4p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	2e6a23d4c8d7fcb7af22946dbf04a733de3157c78d1a2fa5906bcbde93595b4b
22	C35_omega8p0_seed0	35	8.0	0	PASS	0	2026-09-23T07:10:59.849236+00:00	2026-09-23T07:11:01.153177+00:00	1.303922	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 8.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega8p0_seed0/output --strict --quiet	jobs/C35_omega8p0_seed0/stdout.log	7f6f31bd19a2a81c1eff744ee5846ec7c0ffc0b8ece649821d0f0faf22991691	jobs/C35_omega8p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	bbdb90530d5d5048c0182f9578ad656c09a10882d569872bfe40dcdaea51a657
23	C35_omega8p0_seed1	35	8.0	1	PASS	0	2026-09-23T07:11:01.154443+00:00	2026-09-23T07:11:02.460076+00:00	1.305617	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 8.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega8p0_seed1/output --strict --quiet	jobs/C35_omega8p0_seed1/stdout.log	5303fe0552ce07178e2df675b66238978f09eee585793b8c6a2e3e4309d2b10b	jobs/C35_omega8p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	ce5a89f50c5409c935ef335489a7964be7966285b5fe2f9f5d79bd27a144a1e1
24	C35_omega8p0_seed2	35	8.0	2	PASS	0	2026-09-23T07:11:02.461400+00:00	2026-09-23T07:11:03.776262+00:00	1.314845	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 8.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega8p0_seed2/output --strict --quiet	jobs/C35_omega8p0_seed2/stdout.log	8410690c303aa79d95317218b6d1feec2340ad037ae31cbf1d1871f1930305d0	jobs/C35_omega8p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	90bc68a101518d5b283d2c715d3a6e98226b18baa6220b012468f95a71ca91f8
25	C35_omega12p0_seed0	35	12.0	0	PASS	0	2026-09-23T07:11:03.777555+00:00	2026-09-23T07:11:05.165828+00:00	1.38826	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 12.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega12p0_seed0/output --strict --quiet	jobs/C35_omega12p0_seed0/stdout.log	79034402f4daad30bb719e7ec49c32e16d5fd074169ef2a79586d32b72f9dbc8	jobs/C35_omega12p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	ffe73d337dbd213f2a4658092bcc2a38911a750a1c5df9b0b985af04c38f40d4
26	C35_omega12p0_seed1	35	12.0	1	PASS	0	2026-09-23T07:11:05.167370+00:00	2026-09-23T07:11:06.480822+00:00	1.313439	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 12.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega12p0_seed1/output --strict --quiet	jobs/C35_omega12p0_seed1/stdout.log	422e811442e3fb640b3525595a66c4df1940bba326bf76755eccd9a05c3c400e	jobs/C35_omega12p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	836e53bfca67747261ade33f574ea6847f36d225635ad3df80a9e237a4ac170e
27	C35_omega12p0_seed2	35	12.0	2	PASS	0	2026-09-23T07:11:06.482211+00:00	2026-09-23T07:11:07.781263+00:00	1.299038	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 35 --omegas 12.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C35_omega12p0_seed2/output --strict --quiet	jobs/C35_omega12p0_seed2/stdout.log	2f34f6ac77692947a43cf005407fa2cb32981e580c5dc8b9c695ba9050a6e298	jobs/C35_omega12p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	93bece4082b91c8e9fb320f5890dc3da2bc0ac23f0058825ecee4c3c1ed54428
